year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Collines,BJ05,Savalou,BJ0505,98119,94184,192303,16937,14730,12461,9953,8347,7297,6375,5231,4037,3299,2792,1761,1581,1380,890,704,344,17445,15027,13296,11282,7901,6650,5082,4354,3412,2765,2164,1232,1106,1181,576,483,228,34382,29757,25757,21235,16248,13947,11457,9585,7449,6064,4956,2993,2687,2561,1466,1187,572
2024,BEN,Benin,BJ,Collines,BJ05,Save,BJ0506,53476,54790,108266,8337,7299,6613,5791,4946,4206,3329,3009,2490,2144,1728,1065,768,796,479,291,185,8783,7612,7075,6429,5491,4063,3326,2565,2309,2079,1617,1008,825,794,436,242,136,17120,14911,13688,12220,10437,8269,6655,5574,4799,4223,3345,2073,1593,1590,915,533,321
2024,BEN,Benin,BJ,Couffo,BJ06,Aplahoue,BJ0601,127943,113094,241037,21204,20723,16895,14125,11034,10145,8146,6817,5256,4495,3112,1360,1781,1253,733,329,535,21153,19870,16100,13699,9381,7738,5802,4809,3930,3190,2868,1141,1393,904,500,270,346,42357,40593,32995,27824,20415,17883,13948,11626,9186,7685,5980,2501,3174,2157,1233,599,881
2024,BEN,Benin,BJ,Couffo,BJ06,Djakotomey,BJ0602,95342,83680,179022,14701,15533,12925,10427,7461,6784,5575,5607,4508,3685,2814,1267,1657,924,646,401,427,14726,15130,13321,11352,6987,4849,3378,3222,2721,2288,2031,841,1177,678,424,266,289,29427,30663,26246,21779,14448,11633,8953,8829,7229,5973,4845,2108,2834,1602,1070,667,716
2024,BEN,Benin,BJ,Couffo,BJ06,Dogbo,BJ0603,68923,64212,133135,10201,10141,9106,8017,5783,4956,4160,4081,3315,2710,2226,955,1211,756,569,325,411,10353,9934,9186,8945,6290,4611,3284,2718,2414,2044,1511,770,889,433,452,169,209,20554,20075,18292,16962,12073,9567,7444,6799,5729,4754,3737,1725,2100,1189,1021,494,620
2024,BEN,Benin,BJ,Couffo,BJ06,Klouekanme,BJ0604,91334,79502,170836,15274,14875,12202,10124,7715,6774,5199,4980,3750,3411,2560,1256,1223,824,554,340,273,15014,14429,11774,10067,6525,5383,3496,3075,2423,2044,1861,753,1019,699,463,296,181,30288,29304,23976,20191,14240,12157,8695,8055,6173,5455,4421,2009,2242,1523,1017,636,454
2024,BEN,Benin,BJ,Couffo,BJ06,Lalo,BJ0605,91414,82336,173750,15016,15251,12316,9413,7650,7001,5622,5018,3735,3083,2547,1238,1348,922,663,248,343,15372,15301,12491,10640,6721,5186,3582,3205,2560,2010,1782,809,1095,636,525,185,236,30388,30552,24807,20053,14371,12187,9204,8223,6295,5093,4329,2047,2443,1558,1188,433,579
2024,BEN,Benin,BJ,Couffo,BJ06,Toviklin,BJ0606,66131,58033,124164,10341,11031,9391,7304,5349,4596,3771,3597,2834,2377,1840,914,1057,650,520,294,265,10549,10757,8797,7649,5208,3774,2309,2147,1673,1585,1249,549,687,460,326,167,147,20890,21788,18188,14953,10557,8370,6080,5744,4507,3962,3089,1463,1744,1110,846,461,412
2024,BEN,Benin,BJ,Donga,BJ07,Bassila,BJ0701,113200,113716,226916,19950,17075,12992,10728,10433,9461,8126,6163,4981,3906,2899,1846,1591,1314,800,522,413,20869,18045,14977,11765,10248,8858,6717,5151,4259,3814,2932,1656,1377,1368,742,602,336,40819,35120,27969,22493,20681,18319,14843,11314,9240,7720,5831,3502,2968,2682,1542,1124,749
2024,BEN,Benin,BJ,Donga,BJ07,Copargo,BJ0703,47348,48099,95447,7324,7603,5519,4613,4552,3633,3142,2271,2209,1766,1387,827,792,707,495,273,235,7737,8534,6757,5286,4278,3326,2674,1855,1619,1508,1285,774,714,709,483,322,238,15061,16137,12276,9899,8830,6959,5816,4126,3828,3274,2672,1601,1506,1416,978,595,473
2024,BEN,Benin,BJ,Donga,BJ07,Djougou,BJ0702,188452,191275,379727,33461,29125,22101,19213,17883,14578,12154,9539,7736,6603,5174,2986,2582,2142,1559,886,730,34885,30705,24746,20422,17123,14259,10920,8286,6960,6329,5398,2866,2715,2346,1671,996,648,68346,59830,46847,39635,35006,28837,23074,17825,14696,12932,10572,5852,5297,4488,3230,1882,1378
2024,BEN,Benin,BJ,Donga,BJ07,Ouake,BJ0704,57934,57813,115747,8806,8777,7339,6084,5471,4508,3625,3119,2497,2351,1526,1070,837,843,521,366,194,9676,9396,7898,7018,5696,4494,3038,2411,1875,1900,1323,866,673,695,360,346,148,18482,18173,15237,13102,11167,9002,6663,5530,4372,4251,2849,1936,1510,1538,881,712,342
2024,BEN,Benin,BJ,Littoral,BJ08,Cotonou,BJ0800,341684,323525,665209,47111,37305,36838,34533,35913,31778,27106,21589,17195,16610,11433,9264,5145,4889,2277,1967,731,50157,36278,30183,29106,37332,34134,27268,20586,15869,15120,9626,6827,3989,3828,1605,1262,355,97268,73583,67021,63639,73245,65912,54374,42175,33064,31730,21059,16091,9134,8717,3882,3229,1086
2024,BEN,Benin,BJ,Mono,BJ09,Athieme,BJ0901,39591,38266,77857,6232,5650,5277,4324,3438,2613,2310,2122,1852,1682,1323,738,663,525,382,254,206,6292,5960,5365,4744,3938,2671,1874,1753,1401,1288,1016,568,489,396,278,130,103,12524,11610,10642,9068,7376,5284,4184,3875,3253,2970,2339,1306,1152,921,660,384,309
2024,BEN,Benin,BJ,Mono,BJ09,Bopa,BJ0902,65265,61933,127198,10296,10036,8339,6329,5001,4480,3954,3620,3125,2928,2212,1204,1225,991,783,407,335,10436,10780,9510,7259,4990,3713,2914,2509,2113,1972,1768,943,1006,716,627,382,295,20732,20816,17849,13588,9991,8193,6868,6129,5238,4900,3980,2147,2231,1707,1410,789,630
2024,BEN,Benin,BJ,Mono,BJ09,Come,BJ0903,54350,51299,105649,8145,6856,6524,5483,4832,3910,3507,3017,2593,2633,2014,1481,937,989,581,525,323,8311,7008,6617,6521,5453,3712,2842,2415,1903,2060,1370,972,710,719,307,250,129,16456,13864,13141,12004,10285,7622,6349,5432,4496,4693,3384,2453,1647,1708,888,775,452
2024,BEN,Benin,BJ,Mono,BJ09,Grand-Popo,BJ0904,40173,39181,79354,5866,5001,4225,3715,3423,2803,2506,2369,2035,2218,1639,1187,863,953,591,423,356,6196,5227,4670,4588,3801,3067,2288,2028,1654,1731,1244,762,584,569,344,258,170,12062,10228,8895,8303,7224,5870,4794,4397,3689,3949,2883,1949,1447,1522,935,681,526
2024,BEN,Benin,BJ,Mono,BJ09,Houeyogbe,BJ0905,69139,65251,134390,10664,9901,8898,7089,5836,4787,3896,3870,3276,3000,2325,1442,1370,1013,880,478,414,10605,10322,9393,8189,6168,4133,2951,2714,2616,2318,1867,1004,980,781,604,352,254,21269,20223,18291,15278,12004,8920,6847,6584,5892,5318,4192,2446,2350,1794,1484,830,668
2024,BEN,Benin,BJ,Mono,BJ09,Lokossa,BJ0906,69876,67972,137848,11036,9848,8993,8000,6502,5296,4245,3934,3070,2841,2111,1177,934,800,507,312,270,11083,9792,9139,8307,6940,5430,4106,3180,2524,2559,1720,949,860,623,425,197,138,22119,19640,18132,16307,13442,10726,8351,7114,5594,5400,3831,2126,1794,1423,932,509,408
2024,BEN,Benin,BJ,Oueme,BJ10,Adjarra,BJ1001,77272,74511,151783,12733,10074,9294,7452,6989,6319,5235,4521,3617,3466,2466,1602,1230,1166,563,332,213,13719,10648,9288,7632,6893,5645,4626,3720,2969,2867,2214,1673,1134,842,330,225,86,26452,20722,18582,15084,13882,11964,9861,8241,6586,6333,4680,3275,2364,2008,893,557,299
